id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,istrain
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,True
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,True
59263,Women,Accessories,Watches,Watches,Silver,Winter,Casual,True
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,Casual,True
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,True
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,True
30805,Men,Apparel,Topwear,Shirts,Green,Summer,Ethnic,True
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,Casual,True
29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,Casual,True
30039,Men,Accessories,Watches,Watches,Black,Winter,Casual,True
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,True
48123,Women,Accessories,Belts,Belts,Black,Summer,Casual,True
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,Casual,True
47957,Women,Accessories,Bags,Handbags,Blue,Summer,Casual,True
46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,Casual,True
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,Formal,True
29928,Men,Accessories,Watches,Watches,Black,Winter,Casual,True
42419,Girls,Apparel,Topwear,Tops,White,Summer,Casual,True
51832,Women,Apparel,Innerwear,Bra,Beige,Summer,Casual,True
47359,Women,Accessories,Bags,Handbags,Brown,Summer,Casual,True
17429,Men,Accessories,Watches,Watches,Black,Winter,Casual,True
12967,Men,Footwear,Sandal,Sandals,Black,Fall,Casual,True
6842,Unisex,Accessories,Others,Others,Black,Summer,Casual,True
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,Sports,True
18461,Men,Personal Care,Fragrance,Deodorant,White,Spring,Casual,True
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,Formal,True
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,Casual,True
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Sports,True
56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,Casual,True
21977,Women,Accessories,Bags,Handbags,Brown,Winter,Casual,True
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,Formal,True
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,Casual,True
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,Casual,True
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,Casual,True
59051,Women,Footwear,Shoes,Flats,Black,Winter,Casual,True
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,Ethnic,True
58183,Women,Accessories,Bags,Handbags,White,Summer,Casual,True
29742,Women,Accessories,Bags,Handbags,Teal,Summer,Casual,True
51658,Women,Accessories,Watches,Watches,Copper,Winter,Casual,True
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,True
18839,Men,Accessories,Belts,Belts,Black,Fall,Formal,True
2886,Women,Footwear,Shoes,Flats,Brown,Winter,Casual,True
23278,Men,Accessories,Watches,Watches,Off White,Winter,Casual,True
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,Ethnic,True
8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,Casual,True
3168,Men,Footwear,Shoes,Sports Shoes,White,Fall,Sports,True
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,Sports,True
17871,Men,Apparel,Innerwear,Briefs,Maroon,Winter,Casual,True
9452,Men,Apparel,Topwear,Shirts,Red,Fall,Formal,True
38402,Women,Accessories,Belts,Belts,Black,Summer,Casual,True
44984,Women,Accessories,Watches,Watches,White,Winter,Casual,True
10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,Formal,True
45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,Ethnic,True
32138,Men,Apparel,Innerwear,Briefs,Blue,Summer,Casual,True
59435,Men,Footwear,Shoes,Formal Shoes,Black,Summer,Formal,True
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,True
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,Casual,True
4943,Men,Apparel,Topwear,Shirts,White,Summer,Casual,True
11188,Men,Accessories,Watches,Watches,Silver,Winter,Casual,True
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual,True
59607,Women,Apparel,Saree,Sarees,Grey,Fall,Ethnic,True
15528,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,True
45258,Men,Accessories,Watches,Watches,Black,Winter,Casual,True
42841,Women,Accessories,Bags,Handbags,Beige,Summer,Casual,True
22198,Men,Footwear,Shoes,Casual Shoes,Black,Fall,Casual,True
29570,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,Casual,True
43993,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,Casual,True
6628,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,True
54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,Casual,True
26538,Men,Footwear,Shoes,Casual Shoes,Red,Fall,Casual,True
35913,Women,Accessories,Bags,Handbags,Black,Summer,Casual,True
49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,Casual,True
9660,Men,Apparel,Topwear,Shirts,Pink,Fall,Casual,True
2288,Women,Apparel,Topwear,Tshirts,Black,Fall,Sports,True
23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,Casual,True
18237,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual,True
54118,Women,Footwear,Shoes,Heels,Black,Winter,Casual,True
2872,Women,Footwear,Shoes,Heels,Brown,Winter,Casual,True
49653,Women,Apparel,Topwear,Tops,Green,Summer,Casual,True
8574,Women,Footwear,Sandal,Sandals,Pink,Fall,Casual,True
16957,Men,Accessories,Eyewear,Sunglasses,Black,Winter,Casual,True
19123,Men,Footwear,Flip Flops,Flip Flops,Silver,Fall,Casual,True
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,Casual,True
17885,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,Casual,True
43369,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,Casual,True
48781,Women,Accessories,Jewellery,Pendant,Silver,Summer,Casual,True
44970,Men,Accessories,Watches,Watches,White,Winter,Casual,True
39524,Unisex,Accessories,Bags,Laptop Bag,Orange,Summer,Casual,True
33822,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,True
58513,Women,Apparel,Topwear,Tops,Off White,Summer,Casual,True
25947,Women,Accessories,Scarves,Scarves,Brown,Summer,Casual,True
5865,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,True
39716,Women,Apparel,Dress,Dresses,Blue,Summer,Casual,True
25349,Men,Apparel,Innerwear,Briefs,Red,Summer,Casual,True
11940,Men,Footwear,Sandal,Sandals,Black,Summer,Casual,True
55802,Women,Apparel,Loungewear and Nightwear,Night suits,White,Summer,Casual,True
29584,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,True
43967,Women,Personal Care,Fragrance,Perfume and Body Mist,Red,Spring,Casual,True
28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,Sports,True
34009,Girls,Apparel,Topwear,Tops,Black,Summer,Casual,True
19311,Men,Footwear,Shoes,Casual Shoes,White,Fall,Casual,True
42089,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,True
22950,Unisex,Accessories,Watches,Watches,Black,Winter,Casual,True
49461,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,Casual,True
8746,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,Casual,True
9694,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,True
23882,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,Sports,True
34835,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,Sports,True
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,Casual,True
41268,Men,Accessories,Wallets,Wallets,Black,Summer,Casual,True
11518,Women,Footwear,Shoes,Heels,Grey,Winter,Casual,True
